rank,community_id,size
1,32,3677
2,11,3307
3,0,1607
4,42,1503
5,14,1431
6,50,1377
7,9,1299
8,177,1251
9,45,1099
10,128,1073
11,46,999
12,85,942
13,17,923
14,129,892
15,140,883
16,27,849
17,306,840
18,62,829
19,87,799
20,12,779
21,132,750
22,99,743
23,268,710
24,63,701
25,156,693
26,109,647
27,652,626
28,273,623
29,1600,619
30,261,614
31,3,597
32,191,572
33,131,559
34,81,558
35,36,555
36,356,552
37,97,552
38,55,525
39,859,520
40,256,517
41,367,514
42,277,511
43,143,509
44,292,509
45,226,507
46,303,506
47,64,505
48,69,501
49,372,494
50,752,491
